'Date','Count'
01-01-15,4779
01-02-15,281
01-03-15,10010
01-04-15,31259
01-05-15,12132
02-01-15,13724
02-02-15,18408
02-03-15,25195
02-04-15,11098
02-05-15,5659
03-01-15,11256
03-02-15,17521
03-03-15,23699
03-04-15,22476
03-05-15,8978
04-01-15,14878
04-02-15,31170
04-03-15,14808
04-04-15,373
04-05-15,23088
05-01-15,15125
05-02-15,25465
05-03-15,20567
05-04-15,2291
05-05-15,19771
06-01-15,30672
06-02-15,16526
06-03-15,21664
06-04-15,19993
06-05-15,1
07-01-15,24212
07-02-15,89
07-03-15,2183
07-04-15,23915
08-01-15,39730
08-02-15,196
08-03-15,20174
08-04-15,28292
09-01-15,25369
09-02-15,28934
09-03-15,24081
09-04-15,11612
10-01-15,20428
10-02-15,31537
10-03-15,19976
10-04-15,21502
11-01-15,15408
11-02-15,15863
11-03-15,19697
11-04-15,268
12-01-15,22657
12-02-15,24382
12-03-15,13156
12-04-15,3803
13-01-15,33199
13-02-15,26652
13-03-15,27326
13-04-15,29649
14-01-15,23255
14-02-15,14561
14-03-15,7183
14-04-15,26451
15-01-15,22276
15-02-15,13950
15-03-15,257
15-04-15,37616
16-01-15,20415
16-02-15,21000
16-03-15,27553
16-04-15,17502
17-01-15,17343
17-02-15,19699
17-03-15,36747
17-04-15,16930
18-01-15,17449
18-02-15,15115
18-03-15,17665
18-04-15,11436
19-01-15,25320
19-02-15,19743
19-03-15,10587
19-04-15,12073
20-01-15,24233
20-02-15,16540
20-03-15,17418
20-04-15,20811
21-01-15,22887
21-02-15,1203
21-03-15,8554
21-04-15,17833
22-01-15,21976
22-02-15,110
22-03-15,10064
22-04-15,11387
23-01-15,21079
23-02-15,40032
23-03-15,26894
23-04-15,25027
24-01-15,17801
24-02-15,20130
24-03-15,25031
24-04-15,19923
25-01-15,17341
25-02-15,19524
25-03-15,34399
25-04-15,12271
26-01-15,23336
26-02-15,16439
26-03-15,14722
26-04-15,14902
27-01-15,25166
27-02-15,25946
27-03-15,13679
27-04-15,19780
28-01-15,23991
28-02-15,10992
28-03-15,11478
28-04-15,19943
29-01-15,17132
29-03-15,348
29-04-15,18019
30-01-15,16683
30-03-15,18791
30-04-15,26729
31-01-15,898
31-03-15,17473
