date,product,fromtime,totime
2015-05-06,E2000, 00:00:00,  03:52:00
2015-05-05,E2000, 00:00:00,  04:50:00
2015-05-04,E2000, 00:00:00,  04:00:00
2015-05-06,Pricing, 00:00:00,  09:29:00
2015-05-05,Pricing, 00:00:00,  09:24:00
2015-05-04,Pricing, 00:00:00,  10:19:00
2015-05-06,EDSS, 00:31:00,  02:30:00
2015-05-05,EDSS, 00:32:00,  02:06:00
2015-05-04,EDSS, 00:27:00,  02:04:00
2015-05-06,FPR, 00:00:00,  02:55:00
2015-05-05,FPR, 00:00:00,  02:42:00
2015-05-04,FPR, 00:00:00,  02:31:00
2015-05-06,Revenue, 00:00:00,  08:47:00
2015-05-05,Revenue, 00:00:00,  09:51:00
2015-05-04,Revenue, 00:00:00,  09:46:00
